L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,16,0.0,0.34861293587875614,0,1,1,101111111100,3,false,5.0,0.971107237387159,9.057653458253536e-16,0.9568461856753917,9.11311908702577e-16,12.0,0.75
12,9,1,16,0.0,0.34861293587875614,0,1,1,101111111100,3,true,5.0,0.9558451716904415,1.531826890344026e-15,0.8929850163819854,1.5209737295244392e-15,12.0,0.75
12,9,1,1,0.0,0.34861293587875614,0,1,1,101111111100,3,false,5.0,0.9136299584515722,3.940504890996803e-16,0.7814609784081207,3.6536278343187944e-16,12.0,0.75
12,9,1,1,0.0,0.34861293587875614,0,1,1,101111111100,3,true,5.0,0.8608923640545704,7.052876148559333e-16,0.6463911254287412,6.855292847184552e-16,12.0,0.75
12,9,1,4,0.0,0.34861293587875614,0,1,1,101111111100,3,false,5.0,0.9223279938782126,2.0794693270053524e-16,0.8154512801657094,2.3340787176439753e-16,12.0,0.75
12,9,1,4,0.0,0.34861293587875614,0,1,1,101111111100,3,true,5.0,0.8904887947078248,7.513237738804213e-16,0.7562082196893262,7.060415454123904e-16,12.0,0.75
12,9,1,16,0.0,0.3823878996074985,0,1,1,101111111100,3,false,5.0,0.969172792253836,9.12537876828965e-16,0.94920615061239,9.307075535352055e-16,12.0,0.75
12,9,1,16,0.0,0.3823878996074985,0,1,1,101111111100,3,true,5.0,0.948874832432471,1.5222788364027688e-15,0.8769295165971186,1.4281696965821753e-15,12.0,0.75
12,9,1,1,0.0,0.3823878996074985,0,1,1,101111111100,3,false,5.0,0.8990054597568754,3.7231775126951574e-16,0.7480566840110299,3.7062035896761323e-16,12.0,0.75
12,9,1,1,0.0,0.3823878996074985,0,1,1,101111111100,3,true,5.0,0.8370612019524235,7.034789338764144e-16,0.5910845829231596,6.721935513221341e-16,12.0,0.75
12,9,1,4,0.0,0.3823878996074985,0,1,1,101111111100,3,false,5.0,0.9110216812668092,2.4654692229652107e-16,0.7943220197932761,2.48368125787363e-16,12.0,0.75
12,9,1,4,0.0,0.3823878996074985,0,1,1,101111111100,3,true,5.0,0.8767047861263493,7.604411799481851e-16,0.7344312447434965,7.765013922028056e-16,12.0,0.75
12,9,1,16,0.0,0.41943511188892973,0,1,1,101111111100,3,false,5.0,0.9662445596567122,9.10257360206078e-16,0.9360204039531612,8.757187027859209e-16,12.0,0.75
12,9,1,16,0.0,0.41943511188892973,0,1,1,101111111100,3,true,5.0,0.9404827357158451,1.5133021932376318e-15,0.8538625546237888,1.4179286746386928e-15,12.0,0.75
12,9,1,1,0.0,0.41943511188892973,0,1,1,101111111100,3,false,5.0,0.882488407581582,3.970215820467877e-16,0.7120053806526525,3.7291192284874005e-16,12.0,0.75
